PO Created By,PO Create Date,PO Number,Month,Turn around in Days,P Grp,Date order Captured,User order Captured,BOT/MANUAL/SERVICE PROVIDER
1312085,2025-04-25,4400106956,April 2025,0,A14,2025-04-30,NELD7,MANUAL
1312085,2025-04-25,4400106956,April 2025,0,A14,2025-04-30,NELD7,MANUAL
1312085,2025-04-25,4400106957,April 2025,0,A14,2025-04-30,PR2PO-ACK2,BOT
8000441,2025-04-30,4400106959,April 2025,0,G05,2025-04-30,PR2PO-ACK2,BOT
8000441,2025-04-30,4400106959,April 2025,0,G05,2025-04-30,PR2PO-ACK2,BOT
8000441,2025-04-30,4400106959,April 2025,0,G05,2025-04-30,PR2PO-ACK2,BOT
4073759,2025-05-06,4400106961,May 2025,0,A14,2025-05-13,PR2PO-ACK2,BOT
4073759,2025-05-06,4400106961,May 2025,0,A14,2025-05-13,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106963,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106963,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106963,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4237762,2025-05-07,4400106971,May 2025,0,A14,2025-05-13,PR2PO-ACK2,BOT
1312085,2025-05-05,4400106960,May 2025,0,A14,2025-05-06,PR2PO-ACK2,BOT
4507345,2025-05-06,4400106962,May 2025,0,A14,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106963,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106963,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106963,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106963,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106963,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106964,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106964,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106964,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106964,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106964,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4352215,2025-05-06,4400106965,May 2025,0,G05,2025-05-07,PR2PO-ACK2,BOT
4507345,2025-05-07,4400106966,May 2025,0,A14,2025-05-07,PR2PO-ACK2,BOT
4507345,2025-05-07,4400106966,May 2025,0,A14,2025-05-07,PR2PO-ACK2,BOT
4507345,2025-05-08,4400106974,May 2025,0,A14,2025-05-21,NELD7,MANUAL
4507345,2025-05-08,4400106974,May 2025,0,A14,2025-05-21,NELD7,MANUAL
4507345,2025-05-08,4400106974,May 2025,0,A14,2025-05-21,NELD7,MANUAL
4507345,2025-05-08,4400106974,May 2025,0,A14,2025-05-21,NELD7,MANUAL
4315785,2025-05-09,4400106976,May 2025,0,G05,2025-05-12,PR2PO-ACK2,BOT
4507345,2025-05-12,4400106983,May 2025,0,A14,2025-05-13,PR2PO-ACK2,BOT
1312085,2025-05-14,4400106993,May 2025,0,A14,2025-05-14,PR2PO-ACK2,BOT
1312085,2025-05-14,4400106993,May 2025,0,A14,2025-05-14,PR2PO-ACK2,BOT
1312085,2025-05-14,4400106997,May 2025,0,A14,2025-05-16,,MANUAL
1312085,2025-05-15,4400106999,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
1312085,2025-05-16,4400107007,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-16,4400107009,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-07,4400106967,May 2025,0,A14,2025-05-07,PR2PO-ACK2,BOT
2692824,2025-05-07,4400106969,May 2025,0,A14,2025-05-07,PR2PO-ACK2,BOT
1312085,2025-05-07,4400106970,May 2025,0,A14,2025-05-07,PR2PO-ACK2,BOT
1312085,2025-05-08,4400106972,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
1312085,2025-05-08,4400106972,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4504607,2025-05-08,4400106973,May 2025,0,G05,2025-05-12,PR2PO-ACK2,BOT
4315785,2025-05-09,4400106975,May 2025,0,G05,2025-05-09,PR2PO-ACK2,BOT
4315785,2025-05-09,4400106975,May 2025,0,G05,2025-05-09,PR2PO-ACK2,BOT
1553319,2025-05-09,4400106977,May 2025,0,G05,2025-05-13,PR2PO-ACK2,BOT
1553319,2025-05-09,4400106977,May 2025,0,G05,2025-05-13,PR2PO-ACK2,BOT
1772274,2025-05-09,4400106978,May 2025,0,A14,2025-05-09,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-09,4400106979,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4508046,2025-05-09,4400106980,May 2025,0,A14,2025-05-21,NELD7,MANUAL
1553319,2025-05-09,4400106981,May 2025,0,G05,2025-05-12,PR2PO-ACK2,BOT
1553319,2025-05-09,4400106981,May 2025,0,G05,2025-05-12,PR2PO-ACK2,BOT
1553319,2025-05-09,4400106982,May 2025,0,G05,2025-05-13,PR2PO-ACK2,BOT
1553319,2025-05-09,4400106982,May 2025,0,G05,2025-05-13,PR2PO-ACK2,BOT
4507345,2025-05-12,4400106984,May 2025,0,A14,2025-05-14,PR2PO-ACK2,BOT
4507345,2025-05-12,4400106984,May 2025,0,A14,2025-05-14,PR2PO-ACK2,BOT
4507345,2025-05-13,4400106985,May 2025,0,A14,2025-05-27,NELD7,MANUAL
4507345,2025-05-13,4400106987,May 2025,0,A14,2025-05-14,PR2PO-ACK2,BOT
4507345,2025-05-13,4400106988,May 2025,0,A14,2025-05-16,PR2PO-ACK2,BOT
4507345,2025-05-13,4400106989,May 2025,0,A14,2025-05-13,PR2PO-ACK2,BOT
